Title	URL	Assignees	Status	Sprint	Task Type	Nature	Epic	Time estimate	Actual time
As a Wanderwave user, I want to have a screen where I can see what songs I sent and received recently, so I can like and save them for later.	https://github.com/G12-Wanderwave/Wanderwave/issues/244	aymanbakiri, joriba	Sprint Backlog						
As a curious user, I want the ability to see who has shared a particular song with me, enhancing my understanding of local listeners' tastes.	https://github.com/G12-Wanderwave/Wanderwave/issues/241		Sprint Backlog						
End-to-end tests	https://github.com/G12-Wanderwave/Wanderwave/issues/155	aymanbakiri, IB-12, joriba, KlaKalma, mbouaissi, tsogtb, yzueger	Sprint Backlog						
As a privacy conscious person, I want to be able to know that my data is private and that other people can't access it	https://github.com/G12-Wanderwave/Wanderwave/issues/66	yzueger	Sprint Backlog		Backend			25h	
As a user, I want to be able to share my music taste with others by adding a song to a beacon, so that others can see it.	https://github.com/G12-Wanderwave/Wanderwave/issues/68	aymanbakiri, KlaKalma, mbouaissi	Sprint Backlog	Sprint 3	Backend			25h	
As a WanderWave user, I want the beacons to be well distributed so that I can always find a beacon nearby	https://github.com/G12-Wanderwave/Wanderwave/issues/200	KlaKalma	Sprint Backlog						
As a user, I want to customize beacons that I created with custom names and colors	https://github.com/G12-Wanderwave/Wanderwave/issues/101		Product Backlog		Frontend	User Story			
As a tourist utilizing WanderWave, I aim for an enriched and immersive exploration experience, so that upon my arrival in a new country, I can simultaneously discover its landmarks and immerse myself in its culture by accessing playlists featuring the country's best songs.			Product Backlog						
As a user with a peculiar taste, I want to flag a song that is recommended to me to ban it from being recommended in the future, even from other beacons, so that I don't see it again. I also want a screen where I can remove them from my blacklist			Product Backlog						
As a casual user, I want the process of ending my interaction with the app to be straightforward, so that I can stop the experience and exit the app with ease after my walk.			Product Backlog						
As a user viewing others beacons, I don't want someone polluting my environmen by spamming beacons or songs, so that everyone has a chance to be seen. Something should prevent that.			Product Backlog						
As a user, I want to be able to like a song in an efficient manner to listen to it later again when I'm close to a beacon			Product Backlog						
As a user living in the countryside, I want to create a beacon, so that I can still interact with beacons in places where few people are			Product Backlog						
Use the track list to display songs recently added to a beacon	https://github.com/G12-Wanderwave/Wanderwave/issues/246	aymanbakiri	Sprint Tasks					6h	
Get CI logs as artifact	https://github.com/G12-Wanderwave/Wanderwave/issues/242		Sprint Tasks						
Edit the flacky track screen test	https://github.com/G12-Wanderwave/Wanderwave/issues/218	KlaKalma	Sprint Tasks					5h	
End-to-end test 2	https://github.com/G12-Wanderwave/Wanderwave/issues/170	yzueger	Sprint Tasks					4h	
Connect authentication to current user profile	https://github.com/G12-Wanderwave/Wanderwave/issues/199	yzueger	Sprint Tasks						5h
Use the track list screen to display recently viewed songs	https://github.com/G12-Wanderwave/Wanderwave/issues/245	joriba	Sprint Tasks						
