Title	URL	Assignees	Status	Sprint	Task Type	Nature	Epic	Time estimate	Actual time
As a user, I want to be able to like a song in an efficient manner to listen to it later again when I'm close to a beacon	https://github.com/G12-Wanderwave/Wanderwave/issues/306		Sprint Backlog						
As a user with a peculiar taste, I want to flag a song that is recommended to me to ban it from being recommended in the future, even from other beacons, so that I don't see it again. I also want a screen where I can remove them from my blacklist	https://github.com/G12-Wanderwave/Wanderwave/issues/307		Sprint Backlog						
As a privacy conscious person, I want to be able to know that my data is private and that other people can't access it	https://github.com/G12-Wanderwave/Wanderwave/issues/66	KlaKalma, yzueger	Sprint Backlog		Backend			25h	
As a user, I want to be able to share my music taste with others by adding a song to a beacon, so that others can see it.	https://github.com/G12-Wanderwave/Wanderwave/issues/68	aymanbakiri, KlaKalma, mbouaissi	Sprint Backlog	Sprint 3	Backend			25h	
End-to-end tests	https://github.com/G12-Wanderwave/Wanderwave/issues/155	aymanbakiri, IB-12, joriba, KlaKalma, mbouaissi, tsogtb, yzueger	Sprint Backlog						
As a curious user, I want the ability to see who has shared a particular song with me, enhancing my understanding of local listeners' tastes.	https://github.com/G12-Wanderwave/Wanderwave/issues/241		Product Backlog						
As a user, I want to recover the album cover, so that I can see which album im selecting			Product Backlog						
As a user, i want to recover songs from my playlist, so that i can add them to a beacon			Product Backlog						
As a user, I want to customize beacons that I created with custom names and colors	https://github.com/G12-Wanderwave/Wanderwave/issues/101		Product Backlog		Frontend	User Story			
As a casual user, I want the process of ending my interaction with the app to be straightforward, so that I can stop the experience and exit the app with ease after my walk.			Product Backlog						
As a user viewing others beacons, I don't want someone polluting my environmen by spamming beacons or songs, so that everyone has a chance to be seen. Something should prevent that.			Product Backlog						
As a tourist utilizing WanderWave, I aim for an enriched and immersive exploration experience, so that upon my arrival in a new country, I can simultaneously discover its landmarks and immerse myself in its culture by accessing playlists featuring the country's best songs.			Product Backlog						
As a user living in the countryside, I want to create a beacon, so that I can still interact with beacons in places where few people are			Product Backlog						
Store the liked songs on the profile	https://github.com/G12-Wanderwave/Wanderwave/issues/308	aymanbakiri	Tasks for next Sprint						
Have a like counter on firebase for tracks in beacons	https://github.com/G12-Wanderwave/Wanderwave/issues/310	KlaKalma	Tasks for next Sprint					3h	
Adapt the UI so it adds a liked songs and adds it to the list of liked songs	https://github.com/G12-Wanderwave/Wanderwave/issues/311	joriba	Tasks for next Sprint					4h	
The list of banned songs impacts the songs you can listen	https://github.com/G12-Wanderwave/Wanderwave/issues/314	yzueger	Tasks for next Sprint					6h	
The profile contains a list of banned songs (local and firebase)	https://github.com/G12-Wanderwave/Wanderwave/issues/312	KlaKalma	Tasks for next Sprint					3h	
Make the media player disappear when no songs is playing	https://github.com/G12-Wanderwave/Wanderwave/issues/331	tsogtb	Tasks for next Sprint						
End-to-end test 3	https://github.com/G12-Wanderwave/Wanderwave/issues/171	tsogtb	Tasks for next Sprint					4h	
End-to-end test 7	https://github.com/G12-Wanderwave/Wanderwave/issues/175	KlaKalma	Tasks for next Sprint					4h	
End-to-end test 1	https://github.com/G12-Wanderwave/Wanderwave/issues/169	joriba	Tasks for next Sprint					4h	
Integrate the song select "screen" with the track lists	https://github.com/G12-Wanderwave/Wanderwave/issues/247	mbouaissi	Done in Sprint #7					4	6
